Molecule	HMDB	GT15_2013_1	GT15_2013_3	GT15_2013_4	GT15_2024_1	GT15_2024_2	GT15_2024_3	GT15_2024_4
Glucose-IS		1.44E+08	1.87E+08	1.43E+08	1.00E+08	1.01E+08	1.27E+08	1.62E+08
Glutamate	HMDB0000148	7.98E+07	2.35E+07	3.67E+07	2.90E+08	2.97E+08	1.09E+08	1.43E+07
Glutamate -IS		6.37E+08	6.30E+08	7.14E+08	4.27E+08	4.25E+08	6.11E+08	6.83E+08
Glutamic acid gamma-methyl ester	HMDB0061715	2.98E+07	3.59E+07	1.63E+07	1.91E+08	1.92E+08	3.26E+07	6.64E+07
Glutamine	HMDB0000641	3.54E+06	4.62E+06	2.27E+06	2.86E+06	2.64E+06	1.48E+06	1.69E+06
Glutamine - IS		3.83E+08	5.76E+08	1.73E+08	1.66E+08	1.63E+08	1.59E+08	6.54E+08
Glutarate	HMDB0000661	6.88E+05	1.97E+04	1.09E+06	8.68E+05	1.29E+06	1.98E+06	3.44E+05
Glutarylglycine	590	9.40E+06	2.90E+06	1.17E+07	6.71E+06	6.68E+06	1.14E+07	1.51E+07
Glutathione disulfide (GSSG)	HMDB0003337	3.65E+05	4.65E+04	6.67E+04	4.76E+06	5.81E+06	4.68E+04	3.03E+05
Glycerol	HMDB0000131	2.34E+04	5.36E+04	5.28E+04	5.75E+04	1.00E+05	5.06E+04	1.96E+04
Glycerol 3-phosphate	126	1.24E+07	3.41E+06	1.73E+07	7.14E+07	7.96E+07	2.46E+07	1.95E+07
Glycerophosphocholine	86	4.03E+09	4.43E+09	1.04E+10	5.04E+10	5.27E+10	1.05E+10	7.65E+09
Glycine	HMDB0000123	1.48E+07	1.85E+06	1.17E+07	1.43E+07	1.47E+07	3.08E+07	2.77E+06
Glycolate	115	1.81E+10	1.81E+10	1.75E+10	1.84E+10	1.87E+10	1.84E+10	1.79E+10
Glycyl-Asparagine	HMDB0028836	1.20E+05	1.46E+05	2.70E+05	4.98E+05	7.17E+05	1.84E+06	4.06E+05
Glycyl-Aspartate	HMDB0028837	1.22E+06	2.99E+05	1.53E+06	1.37E+06	1.34E+06	1.98E+06	1.53E+06
Glycyl-Glutamate	28840	1.10E+07	1.49E+06	3.62E+06	2.26E+07	2.46E+07	1.77E+07	2.06E+06
Glycyl-Glutamine	28839	1.08E+06	2.25E+06	1.47E+06	2.62E+06	2.27E+06	1.00E+06	9.45E+05
Glycyl-Isoleucine	28844	3.05E+06	3.85E+06	2.89E+06	5.06E+06	4.71E+06	3.09E+06	1.63E+06
Glycylleucine	759	3.14E+06	3.92E+06	2.98E+06	5.23E+06	4.82E+06	3.19E+06	1.67E+06
Glycyl-Serine	HMDB0028850	5.36E+05	2.53E+05	4.35E+05	8.58E+06	9.10E+06	4.73E+06	1.15E+06
Glycyl-Threonine	28851	5.34E+06	8.27E+06	1.10E+07	3.30E+07	3.29E+07	5.75E+07	2.39E+07
Glycylvaline	HMDB0028854	6.18E+05	3.43E+05	8.64E+05	5.52E+05	5.29E+05	5.18E+05	5.60E+05
Guanidinoacetate	128	1.23E+05	3.86E+04	1.11E+05	4.64E+04	4.17E+04	1.73E+05	1.04E+05
Guanine	HMDB0000132	1.77E+08	9.41E+07	2.72E+08	3.28E+09	5.39E+08	5.42E+08	1.38E+08
Guanosine	HMDB0000133	2.41E+08	2.58E+07	4.36E+08	5.64E+08	5.04E+08	1.08E+09	1.37E+08
Guanosine Diphosphate (GDP)	HMDB0001201	1.76E+06	1.66E+05	2.80E+06	1.21E+06	2.93E+06	4.69E+06	2.85E+06
Guanosine Diphosphate Mannose	1163	2.63E+05	1.01E+04	1.78E+05	4.65E+05	5.26E+05	2.23E+05	2.40E+05
Guanosine monophosphate (GMP)	HMDB0001397	3.84E+06	1.49E+06	6.77E+06	8.28E+06	8.11E+06	5.28E+06	2.57E+06
Harman	HMDB0035196	3.33E+07	4.79E+07	6.91E+07	1.51E+08	1.52E+08	1.18E+08	4.89E+07
Heneicosanoic acid	HMDB0002345	6.07E+07	4.77E+08	3.17E+08	5.19E+08	5.40E+08	1.44E+08	6.44E+07
Heptadecanoic acid	2259	2.01E+09	2.07E+10	7.38E+09	1.90E+10	1.90E+10	3.86E+09	7.69E+09
Hexanoylglycine	701	3.46E+07	3.44E+06	1.36E+06	2.30E+06	1.08E+06	7.26E+05	2.00E+06
Histidinol	3431	6.88E+06	3.45E+05	1.14E+07	7.11E+04	6.78E+04	8.90E+04	1.55E+05
Histidinyl-Isoleucine	HMDB0028888	2.57E+05	3.88E+05	3.64E+05	5.67E+05	4.22E+05	2.07E+05	1.67E+05
Histidinyl-Valine	28898	1.28E+06	1.19E+06	1.76E+06	1.89E+06	1.53E+06	1.07E+06	6.81E+05
Homocitrulline	HMDB0000679	1.14E+06	8.01E+04	1.22E+06	1.76E+06	1.93E+06	1.62E+06	6.76E+05
Homoserine	HMDB0000719	4.86E+06	9.37E+05	7.84E+06	1.25E+07	1.24E+07	2.10E+07	1.37E+06
Hydroxycotinine	1390	3.57E+05	1.44E+05	5.45E+03	3.41E+05	2.13E+05	1.31E+05	2.25E+05
Hydroxyisocaproic acid	746	1.09E+06	0.00E+00	8.41E+05	5.53E+05	3.11E+05	8.67E+05	1.18E+06
Hydroxyproline	HMDB0006055	1.22E+06	2.54E+05	2.51E+06	1.21E+06	2.91E+06	2.08E+06	1.90E+06
Hypoxanthine	HMDB0000157	1.60E+08	2.58E+07	3.94E+08	5.16E+08	5.02E+08	6.85E+08	6.22E+07
Iminodiacetic acid	11753	5.63E+07	1.86E+07	9.64E+07	5.18E+07	5.62E+07	1.13E+08	1.17E+08
Indole-3-Acetamide	29739	9.64E+06	1.11E+06	9.91E+06	2.81E+06	7.19E+05	4.74E+06	4.08E+06
Indoxyl Glucoside	61755	8.86E+05	9.58E+03	9.55E+05	3.65E+04	8.77E+04	4.01E+05	1.16E+06
Inosine	HMDB0000195	7.28E+07	1.07E+07	1.95E+08	2.50E+08	2.69E+08	3.79E+08	2.58E+07
Inosine monophosphate (IMP)	HMDB0000175	9.72E+06	5.37E+05	1.76E+07	2.29E+07	2.37E+07	6.11E+07	1.39E+06
Isobutyryl-L-carnitine	736	1.54E+06	2.01E+06	1.34E+06	1.37E+06	1.02E+06	1.83E+06	2.12E+06
Isocaproic acid	689	4.97E+07	4.09E+07	4.14E+07	6.49E+07	5.92E+07	4.42E+07	5.09E+07
Isoleucine	HMDB0000172	1.45E+07	1.29E+07	1.95E+07	1.03E+08	1.09E+08	6.27E+07	7.92E+06
Leucine	HMDB0000172	8.90E+06	1.03E+07	1.15E+07	5.98E+07	6.43E+07	3.45E+07	6.22E+06
Ketoleucine	HMDB0000695	1.25E+06	5.24E+05	7.24E+05	3.92E+06	3.79E+06	2.52E+06	8.71E+05
Kynurenic acid	715	3.01E+06	2.02E+06	2.14E+06	5.09E+05	1.03E+06	1.20E+06	1.64E+06
Kynurenine	684	4.09E+06	8.62E+05	4.65E+06	4.79E+06	5.29E+06	6.32E+06	3.40E+06
Lactate	HMDB0000190	7.20E+07	1.08E+08	1.19E+08	1.66E+08	1.28E+08	1.32E+08	7.91E+07
Lactate -IS		1.02E+09	1.10E+09	1.07E+09	1.05E+09	1.06E+09	1.02E+09	1.07E+09
Lauric acid	638	4.59E+07	2.34E+07	4.91E+07	7.24E+07	7.60E+07	6.29E+07	5.18E+07
L-beta-aspartyl-L-glycine	11165	2.23E+06	7.74E+05	2.57E+06	3.55E+06	3.27E+06	2.91E+06	2.28E+06
Leucyl-Alanine	28922	1.04E+06	1.73E+06	7.81E+05	1.08E+06	1.54E+06	6.81E+05	0.00E+00
Leucyl-Proline	HMDB0011175	2.15E+05	1.36E+05	3.32E+05	1.00E+06	9.03E+05	8.90E+05	1.21E+05
Leucyl-Serine	HMDB0028938	6.48E+05	1.04E+06	7.50E+05	1.18E+06	1.04E+06	5.89E+05	4.49E+05
Levulinic acid	720	5.06E+06	2.66E+06	2.58E+06	1.09E+07	7.53E+06	5.42E+06	3.64E+06
L-Homocysteic acid	HMDB0002205	8.28E+06	9.00E+05	9.24E+06	8.30E+06	8.42E+06	1.26E+07	7.80E+06
L-Phenylalanyl-L-proline	11177	1.24E+06	1.55E+06	1.78E+06	2.09E+06	1.73E+06	1.90E+06	4.80E+05
L-Targinine	HMDB0029416	8.18E+05	1.55E+04	8.15E+05	8.12E+06	8.77E+06	2.26E+06	1.70E+05
Lumichrome	HMDB0254199	2.22E+06	2.98E+06	6.39E+06	1.47E+07	1.16E+07	1.26E+07	7.73E+06
Lysine	HMDB0000182	1.77E+07	2.30E+06	8.79E+06	4.10E+07	4.53E+07	1.12E+07	4.45E+06
Lysyl-Leucine	28955	1.15E+05	2.21E+05	3.59E+05	3.78E+04	5.23E+04	4.18E+04	7.57E+04
Lysylproline	28959	2.31E+06	1.63E+06	4.07E+06	5.81E+06	5.90E+06	4.39E+06	1.36E+06
Malate	HMDB0031518	9.26E+07	6.09E+06	9.89E+07	8.93E+07	9.03E+07	7.04E+07	6.94E+07
Maltotriose	HMDB0001262	1.05E+05	7.51E+03	4.92E+04	6.77E+04	6.22E+04	6.44E+04	7.40E+04
Mannitol	765	1.49E+07	2.99E+07	3.49E+07	4.07E+07	4.21E+07	3.81E+07	2.76E+07
Mesaconic acid	749	1.36E+06	2.88E+05	8.91E+05	6.10E+06	6.23E+06	4.64E+06	2.35E+06
Mesoxalate	31522	3.36E+05	4.88E+04	1.80E+05	1.33E+05	1.77E+05	1.85E+05	3.19E+05
Methionine	HMDB0000696	2.70E+07	1.00E+07	2.58E+07	1.92E+07	1.91E+07	2.26E+07	7.59E+06
Methionine sulfone	62174	3.57E+06	5.52E+05	3.57E+06	2.96E+06	3.26E+06	3.72E+06	1.85E+06
Methyl Galactoside		8.75E+05	1.15E+05	1.30E+06	1.22E+06	1.20E+06	1.47E+06	1.10E+06
Methyl Jasmonate	36583	4.55E+07	4.66E+07	4.62E+07	5.01E+07	5.22E+07	2.94E+07	3.32E+07
Mevalolactone	244840	4.62E+05	5.85E+05	4.74E+05	6.65E+05	4.38E+05	2.90E+05	4.13E+05
Mevalonate	HMDB0000227	3.12E+04	2.38E+04	3.28E+04	5.86E+04	5.80E+04	4.77E+04	4.24E+04
Muramic acid	3254	4.02E+06	4.95E+06	4.31E+06	3.17E+06	1.69E+06	3.40E+06	2.62E+06
Myristic acid	HMDB0000806	4.92E+08	1.97E+09	1.33E+09	2.43E+09	2.44E+09	5.63E+08	1.42E+09
Myristoleic acid	2000	1.17E+08	2.08E+08	3.48E+08	9.94E+08	1.01E+09	2.27E+08	3.69E+08
N(6)-Methyllysine	HMDB0002038	1.27E+06	1.86E+04	1.00E+06	1.25E+07	1.40E+07	2.74E+06	2.72E+05
N2-Acetylornithine	HMDB0003357	3.38E+05	8.20E+04	3.74E+05	7.64E+05	6.74E+05	4.55E+05	2.09E+05
N2-gamma-Glutamylglutamine	HMDB0011738	2.95E+06	3.42E+05	1.30E+06	3.76E+08	3.95E+08	3.22E+07	5.69E+06
N6-Acetyl-L-lysine	206	2.93E+07	3.01E+07	3.88E+07	1.84E+07	1.80E+07	4.50E+07	2.12E+07
N-Acetylalanine	766	7.42E+05	2.48E+05	8.51E+05	8.73E+05	7.02E+05	4.95E+05	8.68E+05
N-Acetylasparagine	6028	3.03E+06	1.02E+06	5.00E+06	4.89E+06	5.45E+06	7.44E+06	6.94E+06
N-Acetylaspartate	HMDB0000812	1.84E+06	5.75E+05	2.14E+06	6.56E+05	6.25E+05	1.47E+06	3.16E+06
N-Acetylaspartylglutamic acid	1067	3.85E+05	2.15E+05	4.87E+05	3.95E+05	4.25E+05	4.62E+05	3.32E+05
N-Acetyl-beta-alanine	61880	7.42E+05	4.50E+05	8.54E+05	8.73E+05	7.02E+05	4.95E+05	8.34E+05
N-Acetylcysteine	1890	2.12E+07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.09E+05
N-Acetylglucosamine	HMDB0000215	6.02E+07	4.85E+06	4.99E+07	1.10E+08	1.34E+08	1.46E+08	3.19E+07
N-Acetylglutamate	HMDB0001138	5.37E+06	1.97E+06	5.72E+06	2.80E+06	2.82E+06	4.99E+06	8.56E+06
N-Acetylglycine	532	1.08E+06	7.92E+05	1.03E+06	2.51E+05	9.48E+05	8.15E+05	6.43E+05
N-Acetylhistamine	13253	7.32E+05	1.14E+05	1.92E+06	0.00E+00	0.00E+00	1.56E+04	2.53E+04
N-Acetylhistidine	HMDB0032055	2.11E+06	7.66E+05	2.82E+06	1.70E+06	1.49E+06	1.23E+06	2.74E+06
N-Acetylisoleucine	61684	3.75E+07	4.31E+06	1.66E+06	2.39E+06	1.08E+06	8.43E+05	2.35E+06
N-Acetylleucine	HMDB0011756	3.43E+06	7.94E+06	4.64E+06	5.82E+06	5.08E+06	3.85E+06	3.87E+06
N-Acetyl-L-glutamine	6029	3.08E+06	3.44E+06	4.52E+06	6.65E+06	3.59E+06	2.46E+06	4.69E+06
N-Acetylmuramate	HMDB0060493	1.29E+08	7.34E+06	3.27E+07	8.62E+07	9.59E+07	9.96E+07	1.70E+08
N-Acetylneuraminate	230	4.82E+05	5.02E+03	3.80E+05	5.79E+05	5.09E+05	4.69E+05	2.80E+05
N-Acetylputrescine	2064	4.12E+06	1.29E+06	3.60E+06	2.30E+07	2.17E+07	2.66E+07	3.72E+06
N-Acetylserine	HMDB0002931	1.36E+06	9.63E+05	1.19E+06	9.38E+05	8.09E+05	8.89E+05	1.66E+06
N-Acetylthreonine	62557	4.60E+06	5.67E+06	7.90E+06	1.61E+07	1.41E+07	1.89E+07	2.46E+06
N-Acetyltryptophan	13713	1.03E+06	1.05E+06	1.36E+06	1.34E+06	1.10E+06	1.50E+06	6.07E+05
N-Acetylvaline	11757	4.34E+05	2.04E+05	4.80E+05	1.31E+04	2.23E+05	2.47E+05	1.27E+05
N-alpha-Acetyl-L-lysine	446	2.08E+07	4.26E+06	2.42E+07	8.25E+07	8.12E+07	3.82E+07	9.24E+06
N-Amidino-L-Aspartate	3157	9.98E+05	4.23E+04	1.19E+06	1.48E+05	1.82E+04	1.66E+06	8.55E+05
N-Carboxyethyl-gamma-aminobutyric acid	HMDB0002201	7.31E+05	2.83E+05	1.12E+06	1.33E+06	1.32E+06	1.37E+06	1.18E+06
N-Formylphenylalanine	240317	5.40E+05	8.18E+04	3.55E+05	1.41E+05	5.59E+05	5.21E+05	4.21E+05
Nicotinamide	HMDB0001406	2.84E+06	2.33E+06	8.72E+06	6.38E+06	5.54E+06	8.61E+06	3.68E+06
Nicotinamide adenine dinucleotide (NAD+)	HMDB0000902	9.10E+07	2.77E+07	2.30E+08	2.25E+08	2.37E+08	3.36E+08	9.46E+07
Nicotinamide adenine dinucleotide phosphate (NADP+)	HMDB0000217	4.09E+06	9.59E+04	4.76E+06	5.32E+06	7.79E+06	1.08E+07	1.74E+06
Nicotinamide adenine dinucleotide reduced (NADH)	HMDB0001487	2.07E+04	1.62E+04	2.18E+04	7.17E+05	1.57E+06	3.13E+04	1.75E+04
Nicotinamide Hypoxanthine Dinucleotide		1.08E+05	1.16E+04	1.46E+05	8.20E+05	7.64E+05	5.01E+05	3.37E+04
Nicotinamide Mononucleotide	229	1.16E+06	4.19E+05	2.46E+06	4.40E+06	3.16E+06	1.46E+06	9.51E+05
Nicotinate	1488	4.19E+06	2.73E+06	3.74E+06	3.35E+06	2.71E+06	2.59E+06	2.88E+06
Nicotinuric acid	3269	1.48E+07	1.01E+05	1.62E+05	1.79E+05	1.88E+05	2.01E+05	2.30E+05
N-Methyl-a-aminoisobutyric acid	2141	6.05E+09	4.83E+08	8.89E+09	2.15E+10	2.22E+10	1.55E+10	3.32E+09
N-Methyl-L-proline	HMDB0094696	1.07E+06	8.17E+05	1.81E+06	6.88E+06	7.68E+06	2.84E+06	1.26E+06
Nonadecanoic acid	772	2.72E+08	2.31E+09	1.02E+09	2.94E+09	2.86E+09	5.42E+08	6.14E+08
Nonanoic acid	847	1.40E+08	9.27E+07	8.60E+07	9.04E+07	8.02E+07	2.10E+08	2.04E+08
Nutriacholic acid	HMDB0000467	4.01E+06	1.10E+07	5.28E+06	9.24E+06	7.02E+06	2.80E+06	5.87E+06
Octanoic acid	482	3.64E+07	2.77E+07	2.92E+07	5.21E+07	4.37E+07	4.80E+07	3.83E+07
Oleic acid	207	4.58E+07	1.11E+08	7.68E+07	1.22E+08	1.20E+08	1.44E+08	1.28E+08
O-Phosphoethanolamine	224	1.88E+06	8.58E+04	5.53E+05	1.83E+05	2.45E+05	4.14E+05	1.49E+06
Ophthalmate	HMDB0005765	4.21E+06	4.49E+05	7.29E+05	2.36E+08	2.40E+08	1.71E+07	3.77E+06
Ornithine	HMDB0000214	3.01E+06	2.83E+05	1.50E+06	1.73E+06	1.91E+06	1.44E+06	1.49E+06
Oxalate	2329	8.57E+06	4.03E+06	6.49E+06	3.75E+06	4.06E+06	5.79E+06	8.88E+06
Oxoadipate	HMDB0000225	9.52E+05	2.62E+05	8.85E+05	3.72E+06	3.75E+06	5.26E+05	8.92E+05
Oxoproline	HMDB0000267	7.76E+07	1.37E+07	9.35E+07	4.01E+08	4.32E+08	1.23E+08	1.00E+08
Palmitate	HMDB0000220	3.14E+09	2.21E+10	7.99E+09	1.68E+10	1.68E+10	3.77E+09	1.06E+10
Palmitoleic acid	HMDB0003229	8.02E+08	7.92E+09	3.68E+09	1.21E+10	1.21E+10	1.75E+09	3.93E+09
Palmitoylethanolamide	HMDB0002100	1.48E+09	1.14E+09	3.40E+08	3.20E+07	4.31E+07	2.57E+07	6.32E+07
p-Aminohippuric acid	1867	2.82E+06	8.03E+05	2.54E+06	3.10E+06	3.12E+06	2.65E+06	2.06E+06
Pantothenate	HMDB0000210	1.07E+07	2.64E+06	1.35E+07	2.75E+06	3.06E+06	2.18E+06	1.78E+07
p-Cresol-glucuronide	HMDB0011686	1.35E+06	5.06E+05	2.57E+06	2.33E+06	2.03E+06	4.35E+06	1.33E+06
Pentadecanoic acid	826	3.34E+09	2.91E+10	1.18E+10	2.26E+10	2.27E+10	5.10E+09	1.10E+10
Pentanoate	892	1.22E+07	1.12E+07	1.48E+07	3.58E+07	3.46E+07	2.87E+07	6.74E+06
Phenylacetylglutamine	HMDB0006344	4.69E+05	4.18E+04	5.65E+05	4.62E+05	3.88E+05	4.88E+05	3.00E+05
Phenylalanine	HMDB0000159	1.26E+07	8.32E+06	1.89E+07	6.18E+07	6.65E+07	4.25E+07	6.19E+06
Phenylpyruvate	205	1.26E+05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.08E+05	0.00E+00
Phosphoenolpyruvate	HMDB0000263	6.39E+05	2.27E+04	6.06E+05	1.85E+05	2.57E+05	9.17E+05	2.43E+06
Phosphonoacetate	4110	8.87E+05	3.94E+04	1.15E+06	1.75E+06	2.08E+06	2.76E+06	8.09E+05
Picolinoylglycine	59766	1.48E+07	8.89E+04	1.57E+05	1.76E+05	1.79E+05	1.68E+05	2.30E+05
Pipecolate	HMDB0000716	1.90E+07	1.98E+06	2.07E+07	2.79E+07	2.83E+07	3.06E+07	8.73E+06
Piperine	29377	4.33E+06	6.20E+05	3.80E+06	4.05E+06	3.41E+06	4.58E+06	3.45E+06
Proline	HMDB0000162	1.34E+07	1.51E+07	2.04E+07	7.80E+07	8.14E+07	6.71E+07	7.93E+06
Prolyl-Alanine	HMDB0029010	1.60E+06	4.15E+06	2.07E+06	2.12E+06	1.77E+06	1.93E+06	1.40E+06
Propionylcarnitine	HMDB0000824	9.80E+05	3.16E+06	1.62E+06	1.49E+06	1.57E+06	1.18E+06	2.35E+06
Propionylglycine	783	7.42E+05	2.48E+05	8.66E+05	8.73E+05	7.02E+05	4.95E+05	8.90E+05
Pseudouridine	HMDB0000767	6.37E+06	1.11E+06	7.28E+06	1.64E+07	1.78E+07	1.04E+07	4.15E+06
Pterin	802	1.33E+07	5.03E+06	4.03E+07	6.92E+08	1.15E+08	8.40E+07	7.85E+06
Pyridoxal	1545	5.07E+07	6.68E+06	4.53E+07	5.20E+07	5.52E+07	3.55E+07	2.73E+07
Pyridoxal-Phosphate	1491	4.34E+06	2.30E+05	3.52E+06	4.65E+06	5.27E+06	5.25E+06	2.89E+06
Pyruvate	243	1.39E+08	8.27E+07	1.31E+08	1.24E+08	1.48E+08	1.13E+08	1.82E+08
Pyruvate - IS		6.51E+07	7.90E+07	7.07E+07	5.90E+07	5.95E+07	6.06E+07	7.15E+07
Quinoline	33731	1.45E+06	3.29E+05	1.19E+06	9.21E+05	1.02E+06	1.24E+06	9.06E+05
Quinoline-4,8-diol	HMDB0060289	1.51E+05	9.12E+05	3.77E+06	9.28E+06	9.90E+06	1.42E+07	2.80E+06
Rhamnose	849	3.95E+06	1.10E+06	5.39E+06	5.19E+06	6.40E+06	5.64E+06	3.99E+06
Riboflavin	HMDB0000244	9.00E+06	5.68E+06	9.06E+06	3.68E+07	1.42E+07	8.48E+06	8.73E+06
