Molecule	HMDB	GT15_2013_1	GT15_2013_3	GT15_2013_4	GT15_2024_1	GT15_2024_2	GT15_2024_3	GT15_2024_4
Uridine triphosphate (UTP)	HMDB0000285	1.69E+04	1.54E+04	2.00E+05	5.73E+04	4.36E+05	1.61E+06	3.91E+04
Valerylglycine	927	4.34E+05	2.04E+05	4.80E+05	1.31E+04	2.23E+05	2.47E+05	1.27E+05
Valyl-Aspartate	HMDB0029123	3.90E+05	1.05E+06	2.75E+05	1.71E+07	1.77E+07	5.22E+05	2.21E+05
Valyl-Glutamate	HMDB0029126	1.30E+06	7.23E+05	7.80E+05	4.09E+07	4.23E+07	9.53E+05	3.95E+05
Valyl-Glycine	29127	1.78E+06	7.44E+05	2.60E+06	1.41E+06	1.55E+06	1.44E+06	1.83E+06
Valyl-Serine	29136	1.93E+06	7.69E+05	2.31E+06	2.17E+06	2.02E+06	1.66E+06	1.43E+06
Valyl-Threonine	29137	2.53E+06	3.92E+06	2.67E+06	3.77E+06	3.38E+06	2.16E+06	1.77E+06
Valyl-Tyrosine	29139	6.76E+05	5.97E+05	7.65E+05	8.07E+05	6.87E+05	7.12E+05	4.70E+05
Xanthine	HMDB0000292	6.01E+05	3.81E+05	4.27E+06	1.99E+07	2.72E+06	2.33E+06	4.17E+05
Xanthosine Monophosphate	HMDB0001554	2.16E+06	8.36E+04	1.71E+06	5.32E+05	6.23E+05	2.07E+06	2.51E+06
