HMDB	KEGG
HMDB0001316	C00345
HMDB0001325	C03793
HMDB0001333	C00034
HMDB0001336	C01161
HMDB0001341	C00008
HMDB0001342	C00459
HMDB0001352	C00168
HMDB0001370	C00666
HMDB0001372	C00068
HMDB0001377	C00007
HMDB0001388	C06427
HMDB0001392	C00568
HMDB0001397	C00144
HMDB0001398	C01502
HMDB0001401	C00092
HMDB0001406	C00153
HMDB0001413	C00307
HMDB0001423	C00010
HMDB0001426	C00067
HMDB0001429	C00009
HMDB0001430	C01693
HMDB0001440	C00286
HMDB0001451	C16241
HMDB0001473	C00111
HMDB0001476	C00632
HMDB0001487	C00004
HMDB0001488	C00253
HMDB0001490	C05594
HMDB0001491	C00018
HMDB0001514	C00329
HMDB0001517	C04677
HMDB0001520	C00061
HMDB0001533	C00143
HMDB0001539	C03626
HMDB0001546	C00112
HMDB0001548	C00117
HMDB0001554	C00655
HMDB0001564	C00570
HMDB0001565	C00588
HMDB0001586	C00103
HMDB0001624	NA
HMDB0001846	C00101
HMDB0001852	C00777
HMDB0001866	C05580
HMDB0001895	C00805
HMDB0001954	NA
HMDB0001967	C00011
HMDB0001999	C06428
HMDB0002000	C08322
HMDB0002003	C08320
HMDB0002005	C02989
HMDB0002035	C00811
HMDB0002038	C02728
HMDB0002042	NA
HMDB0002052	C01036
HMDB0002064	C02714
HMDB0002065	C04244
HMDB0002108	C22040
HMDB0002111	C00001
HMDB0002134	C01888
HMDB0002141	NA
HMDB0002142	NA
HMDB0002199	C01744
HMDB0002201	NA
HMDB0002231	C16526
HMDB0002250	NA
HMDB0002259	NA
HMDB0002275	C04874
HMDB0002281	C15522
HMDB0002329	C00209
HMDB0002345	NA
HMDB0002520	C02979
HMDB0002658	C01020
HMDB0002666	C01081
HMDB0002712	C07326
HMDB0002917	C00379
HMDB0002931	NA
HMDB0003045	C05570
HMDB0003099	C16359
HMDB0003119	C00556
HMDB0003125	C00027
HMDB0003219	C02076
HMDB0003229	C08362
HMDB0003331	C02494
HMDB0003337	C00127
HMDB0003345	C00267
HMDB0003349	C00337
HMDB0003357	C00437
HMDB0003406	C00740
HMDB0003553	C01613
HMDB0003581	C01909
HMDB0003681	C02946
HMDB0003791	C04043
HMDB0003869	NA
HMDB0003911	C05145
HMDB0004041	C05519
HMDB0004058	C05578
HMDB0004061	C05583
HMDB0004063	C05588
HMDB0004067	C05604
HMDB0004068	C05606
HMDB0004080	C11695
HMDB0005175	C05581
HMDB0005765	C21016
HMDB0005768	C02993
HMDB0006028	NA
HMDB0006029	NA
HMDB0006055	NA
HMDB0006242	C05577
HMDB0006454	C03508
HMDB0006455	NA
HMDB0006547	C16300
HMDB0006779	C05579
HMDB0006821	C05923
HMDB0006822	C05922
HMDB0006823	C06148
HMDB0006915	C05350
HMDB0010378	NA
HMDB0010725	NA
HMDB0011111	C00222
HMDB0011165	NA
HMDB0011166	NA
HMDB0011171	NA
HMDB0011172	NA
HMDB0011177	NA
HMDB0011185	C12147
HMDB0011567	NA
HMDB0011600	C00913
HMDB0011639	NA
HMDB0011667	NA
HMDB0011686	NA
HMDB0011731	C00558
HMDB0011737	C05282
HMDB0011738	C05283
HMDB0011745	C02712
HMDB0011753	C19911
HMDB0011756	C02710
HMDB0012210	C02147
HMDB0012282	NA
HMDB0012943	NA
HMDB0013130	NA
HMDB0013609	C00525
HMDB0013622	C00174
HMDB0013636	C00113
HMDB0013639	NA
HMDB0013642	NA
HMDB0015531	C14819
HMDB0015532	C00038
HMDB0028680	C00993
HMDB0028683	NA
HMDB0028690	NA
HMDB0028693	NA
HMDB0028697	NA
HMDB0028698	NA
HMDB0028700	NA
HMDB0028716	NA
HMDB0028836	NA
HMDB0028837	NA
HMDB0028839	NA
HMDB0028850	NA
HMDB0028851	NA
HMDB0028853	NA
HMDB0028854	NA
HMDB0028888	NA
HMDB0028898	NA
HMDB0028933	C11332
HMDB0028938	NA
HMDB0028942	NA
HMDB0028955	NA
HMDB0028959	NA
HMDB0028964	NA
HMDB0029010	NA
HMDB0029032	NA
HMDB0029059	NA
HMDB0029065	NA
HMDB0029070	NA
HMDB0029123	NA
HMDB0029126	NA
HMDB0029127	NA
HMDB0029133	NA
HMDB0029136	NA
HMDB0029139	NA
HMDB0029140	NA
HMDB0029224	NA
HMDB0029418	NA
HMDB0029878	C02107
HMDB0031003	NA
HMDB0031057	NA
HMDB0031518	C00497
HMDB0031654	NA
HMDB0032055	C02997
HMDB0034297	C08365
HMDB0036458	C01234
HMDB0036583	C11512
HMDB0041945	C11735
HMDB0059597	C00080
HMDB0059655	C02630
HMDB0059658	NA
HMDB0059712	C03351
HMDB0061656	NA
HMDB0061705	NA
HMDB0061707	NA
HMDB0061709	NA
HMDB0061715	NA
HMDB0062164	NA
HMDB0062549	C03045
HMDB0062557	NA
HMDB0094676	NA
HMDB0094696	NA
HMDB0094701	NA
HMDB0240209	C19891
HMDB0240295	NA
HMDB0248092	NA
HMDB0255145	NA
HMDB0304946	NA
HMDB0304951	NA
